country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUS_GBR,2009,6.4609923,10.757596,10.81178,17.939528,16.87183,9.7416315,14.87103398,8.76974511
AUS_GBR,2010,6.461231,10.557224,10.663648,17.94709,16.89244,9.7416315,16.7649506,10.80715653
AUS_GBR,2011,6.646431,10.573362,10.859425,17.95493,16.907995,9.7416315,16.88218834,8.955661015
AUS_GBR,2012,6.7750816,10.637118,11.043207,17.962748,16.92189,9.7416315,16.6773079,8.953327961
AUS_IRL,2004,1.9129647,10.623932,10.062499,15.200934,16.806,9.7544365,11.25510773,9.389274234
AUS_IRL,2005,2.4394658,10.771239,10.323207,15.219218,16.817593,9.7544365,11.18459036,9.785670229
AUS_ITA,2006,0.99272084,10.372217,10.434093,17.875427,16.830791,9.700958,17.35882974,9.389974381
AUS_JPN,2008,5.735233,10.470936,10.620353,18.66755,16.85179,8.965902,13.38959311,8.983810536
AUS_JPN,2009,6.1632485,10.579979,10.81178,18.668034,16.87183,8.965902,14.02792349,8.76974511
AUS_JPN,2010,6.389412,10.617788,10.663648,18.667908,16.89244,8.965902,15.84652534,10.80715653
AUS_JPN,2011,6.3856716,10.703417,10.859425,18.668087,16.907995,8.965902,15.98554543,8.955661015
AUS_JPN,2012,6.5145493,10.78245,11.043207,18.666235,16.92189,8.965902,16.67997535,8.953327961
AUS_NLD,2004,5.3206844,10.482127,10.062499,16.602083,16.806,9.720653,15.63230046,9.389274234
AUS_NLD,2005,5.3950596,10.605654,10.323207,16.605556,16.817593,9.720653,15.48803482,9.785670229
AUS_NLD,2006,5.5632997,10.644926,10.434093,16.607893,16.830791,9.720653,15.06853542,9.389974381
AUS_NLD,2007,5.630545,10.711376,10.492521,16.6095,16.845543,9.720653,14.69123046,9.123021777
AUS_NLD,2008,5.0872912,10.85386,10.620353,16.611675,16.85179,9.720653,14.41994929,8.983810536
AUS_NLD,2009,5.821407,10.9620495,10.81178,16.615568,16.87183,9.720653,14.72733228,8.76974511
AUS_NLD,2010,5.8616357,10.868835,10.663648,16.62071,16.89244,9.720653,16.38206139,10.80715653
AUS_NLD,2011,5.8865848,10.838601,10.859425,16.62584,16.907995,9.720653,16.74674235,8.955661015
AUS_NLD,2012,5.8744454,10.899686,11.043207,16.630505,16.92189,9.720653,16.74997963,8.953327961
AUS_NZL,2012,3.8554897,10.556504,11.043207,15.293472,16.92189,7.755108,16.57072026,8.953327961
AUS_RUS,2012,2.157023,9.571589,11.043207,18.778082,16.92189,9.582115,11.1555976,8.953327961
AUS_SGP,2004,4.0669484,10.074502,10.062499,15.230107,16.806,8.748589,0.383441482,9.389274234
AUS_SGP,2005,3.7686281,10.225881,10.323207,15.242626,16.817593,8.748589,0.521757603,9.785670229
AUS_SGP,2006,4.080192,10.307661,10.434093,15.266131,16.830791,8.748589,0.295179984,9.389974381
AUS_SGP,2007,5.0708385,10.427303,10.492521,15.297425,16.845543,8.748589,1.171034982,9.123021777
